driver_1,driver_2,constructorId,year,driver_1_points,driver_2_points
304,360,1,1968,0,0
262,288,1,1971,0,4
262,304,1,1971,0,9
262,320,1,1971,0,0
262,322,1,1971,0,0
262,347,1,1971,0,0
288,304,1,1971,4,9
288,320,1,1971,4,0
288,322,1,1971,4,0
288,347,1,1971,4,0
304,320,1,1971,9,0
304,322,1,1971,9,0
304,347,1,1971,9,0
320,322,1,1971,0,0
320,347,1,1971,0,0
322,347,1,1971,0,0
222,304,1,1972,0,39
222,309,1,1972,0,23
222,312,1,1972,0,4
304,309,1,1972,39,23
304,312,1,1972,39,4
309,312,1,1972,23,4
222,235,1,1973,0,4
222,304,1,1973,0,26
222,309,1,1973,0,38
235,304,1,1973,4,26
235,309,1,1973,4,38
304,309,1,1973,26,38
200,224,1,1974,0,55
200,293,1,1974,0,0
200,304,1,1974,0,20
200,305,1,1974,0,12
200,322,1,1974,0,0
224,293,1,1974,55,0
224,304,1,1974,55,20
224,305,1,1974,55,12
224,322,1,1974,55,0
293,304,1,1974,0,20
293,305,1,1974,0,12
293,322,1,1974,0,0
304,305,1,1974,20,12
304,322,1,1974,20,0
305,322,1,1974,12,0
200,224,1,1975,20,45
200,293,1,1975,20,0
224,293,1,1975,45,0
200,231,1,1976,19,69
152,200,1,1977,0,25
152,203,1,1977,0,0
152,208,1,1977,0,0
152,231,1,1977,0,40
152,239,1,1977,0,0
200,203,1,1977,25,0
200,208,1,1977,25,0
200,231,1,1977,25,40
200,239,1,1977,25,0
203,208,1,1977,0,0
203,231,1,1977,0,40
203,239,1,1977,0,0
208,231,1,1977,0,40
208,239,1,1977,0,0
231,239,1,1977,40,0
137,152,1,1978,0,0
137,175,1,1978,0,8
137,208,1,1978,0,0
137,231,1,1978,0,8
137,239,1,1978,0,0
137,245,1,1978,0,0
152,175,1,1978,0,8
152,208,1,1978,0,0
152,231,1,1978,0,8
152,239,1,1978,0,0
152,245,1,1978,0,0
175,208,1,1978,8,0
175,231,1,1978,8,8
175,239,1,1978,8,0
175,245,1,1978,8,0
208,231,1,1978,0,8
208,239,1,1978,0,0
208,245,1,1978,0,0
231,239,1,1978,8,0
231,245,1,1978,8,0
239,245,1,1978,0,0
175,187,1,1979,0,15
117,187,1,1980,5,6
117,226,1,1980,5,0
187,226,1,1980,6,0
110,187,1,1981,1,27
182,187,1,1982,30,39
182,187,1,1983,12,22
117,182,1,1984,71,72
117,182,1,1985,76,14
117,187,1,1985,76,0
182,187,1,1985,14,0
117,177,1,1986,74,22
117,140,1,1987,46,30
102,117,1,1988,94,105
102,117,1,1989,60,81
102,77,1,1990,78,43
102,77,1,1991,96,43
102,77,1,1992,50,49
102,121,1,1993,73,7
102,57,1,1993,73,4
121,57,1,1993,7,4
112,57,1,1994,0,26
112,84,1,1994,0,16
57,84,1,1994,26,16
57,76,1,1995,17,0
57,87,1,1995,17,13
57,95,1,1995,17,0
76,87,1,1995,0,13
76,95,1,1995,0,0
87,95,1,1995,13,0
14,57,1,1996,18,31
14,57,1,1997,36,27
14,57,1,1998,56,100
14,57,1,1999,48,76
14,57,1,2000,73,89
14,57,1,2001,65,37
14,8,1,2002,41,24
14,8,1,2003,51,91
14,8,1,2004,24,45
25,31,1,2005,6,60
25,37,1,2005,6,4
25,8,1,2005,6,112
31,37,1,2005,60,4
31,8,1,2005,60,112
37,8,1,2005,4,112
31,37,1,2006,26,19
31,8,1,2006,26,65
37,8,1,2006,19,65
1,4,1,2007,109,109
1,5,1,2008,98,53
1,5,1,2009,49,22
1,18,1,2010,240,214
1,18,1,2011,227,270
1,18,1,2012,190,188
18,815,1,2013,73,49
18,825,1,2014,126,55
18,4,1,2015,16,11
18,825,1,2015,16,0
4,825,1,2015,11,0
18,4,1,2016,21,54
18,838,1,2016,21,1
4,838,1,2016,54,1
18,4,1,2017,0,17
18,838,1,2017,0,13
4,838,1,2017,17,13
4,838,1,2018,50,12
832,846,1,2019,96,49
832,846,1,2020,105,97
817,846,1,2021,114,160
817,846,1,2022,34,116
846,857,1,2023,184,82
846,857,1,2024,162,112
16,21,10,2008,0,0
16,21,10,2009,5,8
16,24,10,2009,5,0
21,24,10,2009,8,0
16,24,10,2010,47,21
16,814,10,2011,42,27
807,814,10,2012,63,46
16,814,10,2013,29,48
807,815,10,2014,96,59
807,815,10,2015,58,78
807,815,10,2016,72,101
815,839,10,2017,100,87
815,839,10,2018,62,49
475,486,102,1961,0,0
418,545,104,1960,0,0
498,589,105,1950,0,4
498,640,105,1950,0,0
498,669,105,1950,0,5
498,677,105,1950,0,0
498,686,105,1950,0,0
498,697,105,1950,0,2
498,731,105,1950,0,0
498,740,105,1950,0,0
498,747,105,1950,0,0
498,756,105,1950,0,0
498,762,105,1950,0,0
498,778,105,1950,0,0
498,780,105,1950,0,0
498,784,105,1950,0,0
498,788,105,1950,0,0
498,792,105,1950,0,0
498,800,105,1950,0,0
589,640,105,1950,4,0
589,669,105,1950,4,5
589,677,105,1950,4,0
589,686,105,1950,4,0
589,697,105,1950,4,2
589,731,105,1950,4,0
589,740,105,1950,4,0
589,747,105,1950,4,0
589,756,105,1950,4,0
589,762,105,1950,4,0
589,778,105,1950,4,0
589,780,105,1950,4,0
589,784,105,1950,4,0
589,788,105,1950,4,0
589,792,105,1950,4,0
589,800,105,1950,4,0
640,669,105,1950,0,5
640,677,105,1950,0,0
640,686,105,1950,0,0
640,697,105,1950,0,2
640,731,105,1950,0,0
640,740,105,1950,0,0
640,747,105,1950,0,0
640,756,105,1950,0,0
640,762,105,1950,0,0
640,778,105,1950,0,0
640,780,105,1950,0,0
640,784,105,1950,0,0
640,788,105,1950,0,0
640,792,105,1950,0,0
640,800,105,1950,0,0
669,677,105,1950,5,0
669,686,105,1950,5,0
669,697,105,1950,5,2
669,731,105,1950,5,0
669,740,105,1950,5,0
669,747,105,1950,5,0
669,756,105,1950,5,0
669,762,105,1950,5,0
669,778,105,1950,5,0
669,780,105,1950,5,0
669,784,105,1950,5,0
669,788,105,1950,5,0
669,792,105,1950,5,0
669,800,105,1950,5,0
677,686,105,1950,0,0
677,697,105,1950,0,2
677,731,105,1950,0,0
677,740,105,1950,0,0
677,747,105,1950,0,0
677,756,105,1950,0,0
677,762,105,1950,0,0
677,778,105,1950,0,0
677,780,105,1950,0,0
677,784,105,1950,0,0
677,788,105,1950,0,0
677,792,105,1950,0,0
677,800,105,1950,0,0
686,697,105,1950,0,2
686,731,105,1950,0,0
686,740,105,1950,0,0
686,747,105,1950,0,0
686,756,105,1950,0,0
686,762,105,1950,0,0
686,778,105,1950,0,0
686,780,105,1950,0,0
686,784,105,1950,0,0
686,788,105,1950,0,0
686,792,105,1950,0,0
686,800,105,1950,0,0
697,731,105,1950,2,0
697,740,105,1950,2,0
697,747,105,1950,2,0
697,756,105,1950,2,0
697,762,105,1950,2,0
697,778,105,1950,2,0
697,780,105,1950,2,0
697,784,105,1950,2,0
697,788,105,1950,2,0
697,792,105,1950,2,0
697,800,105,1950,2,0
731,740,105,1950,0,0
731,747,105,1950,0,0
731,756,105,1950,0,0
731,762,105,1950,0,0
731,778,105,1950,0,0
731,780,105,1950,0,0
731,784,105,1950,0,0
731,788,105,1950,0,0
731,792,105,1950,0,0
731,800,105,1950,0,0
740,747,105,1950,0,0
740,756,105,1950,0,0
740,762,105,1950,0,0
740,778,105,1950,0,0
740,780,105,1950,0,0
740,784,105,1950,0,0
740,788,105,1950,0,0
740,792,105,1950,0,0
740,800,105,1950,0,0
747,756,105,1950,0,0
747,762,105,1950,0,0
747,778,105,1950,0,0
747,780,105,1950,0,0
747,784,105,1950,0,0
747,788,105,1950,0,0
747,792,105,1950,0,0
747,800,105,1950,0,0
756,762,105,1950,0,0
756,778,105,1950,0,0
756,780,105,1950,0,0
756,784,105,1950,0,0
756,788,105,1950,0,0
756,792,105,1950,0,0
756,800,105,1950,0,0
762,778,105,1950,0,0
762,780,105,1950,0,0
762,784,105,1950,0,0
762,788,105,1950,0,0
762,792,105,1950,0,0
762,800,105,1950,0,0
778,780,105,1950,0,0
778,784,105,1950,0,0
778,788,105,1950,0,0
778,792,105,1950,0,0
778,800,105,1950,0,0
780,784,105,1950,0,0
780,788,105,1950,0,0
780,792,105,1950,0,0
780,800,105,1950,0,0
784,788,105,1950,0,0
784,792,105,1950,0,0
784,800,105,1950,0,0
788,792,105,1950,0,0
788,800,105,1950,0,0
792,800,105,1950,0,0
501,580,105,1951,0,0
501,589,105,1951,0,0
501,640,105,1951,0,0
501,669,105,1951,0,0
501,670,105,1951,0,0
501,732,105,1951,0,0
501,747,105,1951,0,0
501,777,105,1951,0,0
501,779,105,1951,0,0
501,780,105,1951,0,0
501,782,105,1951,0,0
580,589,105,1951,0,0
580,640,105,1951,0,0
580,669,105,1951,0,0
580,670,105,1951,0,0
580,732,105,1951,0,0
580,747,105,1951,0,0
580,777,105,1951,0,0
580,779,105,1951,0,0
580,780,105,1951,0,0
580,782,105,1951,0,0
589,640,105,1951,0,0
589,669,105,1951,0,0
589,670,105,1951,0,0
589,732,105,1951,0,0
589,747,105,1951,0,0
589,777,105,1951,0,0
589,779,105,1951,0,0
589,780,105,1951,0,0
589,782,105,1951,0,0
640,669,105,1951,0,0
640,670,105,1951,0,0
640,732,105,1951,0,0
640,747,105,1951,0,0
640,777,105,1951,0,0
